"","Country","Score","code","Standard_Rating_mean","Standard_Rating_n","Standard_Rating_max","Standard_Rating_min","Rapid_rating_mean","Rapid_rating_n","Rapid_rating_max","Rapid_rating_min","Blitz_rating_mean","Blitz_rating_n","Blitz_rating_max","Blitz_rating_min"
"1","Afghanistan",22.5288095238095,"AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Albania",2.45244444444444,"ALB",1971,1,1971,1971,1788,1,1788,1788,1886,1,1886,1886
"3","Angola",7.07977777777778,"AGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Armenia",4.01130952380952,"ARM",2285,1,2285,2285,2282,1,2282,2282,2275,1,2275,2275
"5","Azerbaijan",16.7045833333333,"AZE",2103.375,8,2279,1871,1950,8,2144,1623,1953.75,8,2109,1656
"6","Bangladesh",10.3033333333333,"BGD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Benin",7.87077777777778,"BEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Bolivia",5.39544444444444,"BOL",1888,1,1888,1888,1931,1,1931,1931,2020,1,2020,2020
"9","Burkina Faso",10.8768888888889,"BFA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Burundi",15.9398888888889,"BDI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Cambodia",11.2942222222222,"KHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Cameroon",11.9049444444444,"CMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Chad",23.4807777777778,"TCD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Colombia",1.14044444444444,"COL",2001.875,8,2257,1817,2031,8,2312,1784,2003.25,8,2240,1791
"15","Comoros",9.55461111111111,"COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Congo",19.1671666666667,"COG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Congo Democratic Republic",22.1008333333333,"COD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Cote d'Ivoire",13.1191111111111,"CIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Dominican Republic",0.734047619047619,"DOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Egypt",15.1758333333333,"EGY",1995,4,2182,1832,1895.25,4,2139,1664,1883,4,2072,1698
"21","Eritrea",32.3306666666667,"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Eswatini",5.83344444444444,"SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Ethiopia",16.6565555555556,"ETH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Gabon",12.3352777777778,"GAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Gambia",14.8097222222222,"GMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Ghana",7.06,"GHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Guatemala",2.30383333333333,"GTM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Guinea",21.2895,"GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Guyana",4.27988888888889,"GUY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Haiti",3.5145,"HTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Honduras",3.04527777777778,"HND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","India",12.5360555555556,"IND",2086.14285714286,7,2202,1888,1878.71428571429,7,2075,1569,1907.28571428571,7,2076,1619
"33","Indonesia",7.55035714285714,"IDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Jordan",5.64177777777778,"JOR",1964,1,1964,1964,1941,1,1941,1941,1857,1,1857,1857
"35","Kenya",11.3071111111111,"KEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Kyrgyz Republic",10.618024691358,"KGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Lesotho",8.96744444444444,"LSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Liberia",10.6376111111111,"LBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Madagascar",8.14016666666667,"MDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Malawi",3.63561111111111,"MWI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Maldives",6.10691666666667,"MDV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Mali",22.4886666666667,"MLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Moldova",5.4929012345679,"MDA",2161,1,2161,2161,2121,1,2121,2121,2123,1,2123,2123
"44","Morocco",31.6493333333333,"MAR",1853,1,1853,1853,1788,1,1788,1788,1769,1,1769,1769
"45","Mozambique",3.50433333333333,"MOZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Myanmar",11.9392222222222,"MMR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Namibia",7.36744444444444,"NAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Nepal",6.46638888888889,"NPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Nicaragua",4.63322222222222,"NIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Niger",17.0797777777778,"NER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Nigeria",10.1447777777778,"NGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Pakistan",13.1031547619048,"PAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Peru",1.27011111111111,"PER",2158.5,2,2244,2073,2126.5,2,2204,2049,2108,2,2168,2048
"54","Philippines",3.54433333333333,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Rwanda",9.19438888888889,"RWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Sao Tome and Principe",5.36867816091954,"STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Senegal",13.2816666666667,"SEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Sierra Leone",16.9027777777778,"SLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","South Africa",1.66488505747126,"ZAF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Tajikistan",31.0131111111111,"TJK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Tanzania",16.2912222222222,"TZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Timor-Leste",24.9147777777778,"TLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Togo",7.39822222222222,"TGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Turkey",4.25923076923077,"TUR",1940.66666666667,3,2033,1839,1931.33333333333,3,2016,1802,1987.33333333333,3,2026,1933
